Objective,Arch,Prompt,Model,Scenario,num_runs,num_seeds,seeds,mean_total_deliveries,std_total_deliveries,mean_total_steps,std_total_steps,mean_deliveries_per_1000_steps,std_deliveries_per_1000_steps,mean_llm_calls_per_1000_steps,std_llm_calls_per_1000_steps,mean_llm_calls_per_delivery,std_llm_calls_per_delivery,mean_invalid_action_rate,std_invalid_action_rate,mean_json_failure_rate,std_json_failure_rate,mean_charging_station_utilization_rate,std_charging_station_utilization_rate,mean_steps_to_first_delivery,std_steps_to_first_delivery
Shelf Deliveries,Centralized,Json,phi4,medium_agv_heavy_6v2,1,1,0,0,,200,,0,,590,,,,0.0169491525424,,,,,,,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),tiny_balanced_1v1,1,1,0,1,,233,,4.29184549356,,150.214592275,,35,,0,,,,,,33,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),small_picker_heavy_2v4,1,1,0,0,,200,,0,,370,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),small_balanced_2v2,1,1,0,2,,282,,7.09219858156,,319.14893617,,45,,0,,,,,,45,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),small_agv_heavy_4v2,1,1,0,0,,200,,0,,375,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),medium_balanced_4v4,1,1,0,0,,200,,0,,800,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,qwen 14b (2.5),medium_agv_heavy_6v2,1,1,0,0,,200,,0,,700,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),tiny_balanced_1v1,1,1,0,0,,200,,0,,430,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),small_picker_heavy_2v4,1,1,0,0,,200,,0,,670,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),small_balanced_2v2,1,1,0,0,,200,,0,,700,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),small_agv_heavy_4v2,1,1,0,0,,200,,0,,680,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),medium_balanced_4v4,1,1,0,0,,200,,0,,900,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 1b (3.2),medium_agv_heavy_6v2,1,1,0,0,,200,,0,,860,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),tiny_balanced_1v1,1,1,0,1,,278,,3.59712230216,,244.604316547,,68,,0,,,,,,78,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),small_picker_heavy_2v4,1,1,0,0,,200,,0,,740,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),small_balanced_2v2,1,1,0,2,,398,,5.02512562814,,605.527638191,,120.5,,0,,,,,,174,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),small_agv_heavy_4v2,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),medium_balanced_4v4,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,llama 3b (3.2),medium_agv_heavy_6v2,1,1,0,0,,200,,0,,655,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,mistral 7b,tiny_balanced_1v1,1,1,0,0,,200,,0,,930,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,mistral 7b,small_picker_heavy_2v4,1,1,0,0,,200,,0,,420,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,mistral 7b,small_balanced_2v2,1,1,0,1,,370,,2.7027027027,,575.675675676,,213,,0,,,,,,170,
Shelf Deliveries,Centralized,Natural,mistral 7b,small_agv_heavy_4v2,1,1,0,0,,200,,0,,815,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,mistral 7b,medium_balanced_4v4,1,1,0,0,,200,,0,,920,,,,0.0054347826087,,,,,,,
Shelf Deliveries,Centralized,Natural,mistral 7b,medium_agv_heavy_6v2,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,gemma 12b,tiny_balanced_1v1,1,1,0,1,,283,,3.53356890459,,332.155477032,,94,,0,,,,,,83,
Shelf Deliveries,Centralized,Natural,gemma 12b,small_picker_heavy_2v4,1,1,0,0,,200,,0,,480,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,gemma 12b,small_balanced_2v2,1,1,0,0,,200,,0,,635,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,gemma 12b,small_agv_heavy_4v2,1,1,0,0,,200,,0,,705,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,gemma 12b,medium_balanced_4v4,1,1,0,0,,200,,0,,895,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,gemma 12b,medium_agv_heavy_6v2,1,1,0,0,,200,,0,,920,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,phi4,tiny_balanced_1v1,1,1,0,1,,233,,4.29184549356,,489.270386266,,114,,0,,,,,,33,
Shelf Deliveries,Centralized,Natural,phi4,small_picker_heavy_2v4,1,1,0,0,,200,,0,,810,,,,0,,,,,,,
Shelf Deliveries,Centralized,Natural,phi4,small_balanced_2v2,1,1,0,2,,337,,5.93471810089,,442.136498516,,74.5,,0,,,,,,76,
Shelf Deliveries,Centralized,Natural,phi4,small_agv_heavy_4v2,1,1,0,3,,459,,6.53594771242,,686.274509804,,105,,0,,,,,,112,
