Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Battery + Shelf,Shared,Natural,phi4,small_picker_heavy_2v4,0,session_cps_20260626,1665,NA,0,0.1423531655225019,14941.331861019135,24,6,1748,3.4324942791762014,952.5171624713959,277.5,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,phi4,small_balanced_2v2,0,session_cps_20260626,541,NA,0,0.10174953959484347,3804.57559132576,74,3,1086,2.7624309392265194,498.15837937384896,180.33333333333334,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,phi4,small_agv_heavy_4v2,0,session_cps_20260626,1114,NA,0,0.09583333333333334,11179.011187791824,41,9,1200,7.5,928.3333333333334,123.77777777777777,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,phi4,medium_balanced_4v4,0,session_cps_20260626,1576,NA,0,0.14681122448979592,14696.728553771973,53,5,980,5.1020408163265305,1608.1632653061224,315.2,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,phi4,medium_agv_heavy_6v2,0,session_cps_20260626,451,NA,0,0.07108567208271788,4296.298914670944,32,4,677,5.908419497784343,666.1742983751847,112.75,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/medium_agv_heavy_6v2/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),tiny_balanced_1v1,0,session_cps_20260626,182,NA,0,0.09252336448598131,367.2608230113983,35,1,535,1.8691588785046729,340.1869158878505,182.0,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),small_picker_heavy_2v4,0,session_cps_20260626,4267,NA,0,0.17122448979591837,11228.551090478897,24,14,2450,5.714285714285714,1741.6326530612246,304.7857142857143,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),small_balanced_2v2,0,session_cps_20260626,263,NA,0,0.12456293706293706,674.9097938537598,72,1,572,1.7482517482517483,459.7902097902098,263.0,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),small_agv_heavy_4v2,0,session_cps_20260626,1159,NA,0,0.09418662674650699,3466.9505949020386,41,9,1336,6.736526946107785,867.5149700598803,128.77777777777777,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),medium_balanced_4v4,0,session_cps_20260626,2004,NA,0,0.15905491024287222,7405.105553865433,46,7,947,7.391763463569165,2116.156282998944,286.2857142857143,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,qwen 14b (2.5),medium_agv_heavy_6v2,0,session_cps_20260626,820,NA,0,0.08523245214220601,3114.555267572403,32,5,1097,4.557885141294439,747.4931631722881,164.0,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/qwen2.5_14b/medium_agv_heavy_6v2/language/summary.json
Battery + Shelf,Centralized,Natural,gemma 12b,tiny_balanced_1v1,0,session_cps_20260630,744,NA,1,0.15153494448073154,2596.7246766090393,59,9,1531,5.878510777269758,485.9568909209667,82.66666666666667,0.0013440860215053765,NA,Battery-TA-RWARE/results/shelf/centralized/natural/session_cps_20260630/gemma3_12b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Centralized,Natural,gemma 12b,small_picker_heavy_2v4,0,session_cps_20260630,463,NA,278,0.18,2958.8174891471863,,0,500,0.0,926.0,,0.6004319654427646,NA,Battery-TA-RWARE/results/shelf/centralized/natural/session_cps_20260630/gemma3_12b/small_picker_heavy_2v4/language/summary.json
